==============================
MAPK@3 SCORE: 0.2390765095939903
scorpion MAPK@3: 0.13386880856760372 common guesses: [('scorpion', 45), ('laptop', 28), ('truck', 21)]
elbow MAPK@3: 0.13315696649029982 common guesses: [('elbow', 41), ('foot', 28), ('arm', 20)]
power outlet MAPK@3: 0.12992125984251968 common guesses: [('power outlet', 61), ('washing machine', 49), ('calculator', 47)]
stitches MAPK@3: 0.12943262411347514 common guesses: [('stairs', 43), ('stitches', 39), ('baseball bat', 32)]
bathtub MAPK@3: 0.1253180661577608 common guesses: [('keyboard', 60), ('bathtub', 55), ('mouth', 23)]
kangaroo MAPK@3: 0.1183206106870229 common guesses: [('kangaroo', 52), ('giraffe', 34), ('cello', 32)]
saxophone MAPK@3: 0.11676082862523539 common guesses: [('saxophone', 32), ('toilet', 20), ('violin', 19)]
face MAPK@3: 0.11248285322359397 common guesses: [('cookie', 48), ('face', 42), ('baseball', 38)]
cup MAPK@3: 0.11139455782312926 common guesses: [('mug', 59), ('door', 45), ('cup', 39)]
cake MAPK@3: 0.1105169340463458 common guesses: [('birthday cake', 37), ('toaster', 36), ('cake', 31)]
crayon MAPK@3: 0.10940170940170942 common guesses: [('candle', 82), ('lipstick', 57), ('crayon', 50)]
camouflage MAPK@3: 0.1093951093951094 common guesses: [('camouflage', 57), ('hurricane', 54), ('blackberry', 45)]
barn MAPK@3: 0.10866372980910424 common guesses: [('barn', 41), ('house', 33), ('purse', 28)]
beach MAPK@3: 0.10695187165775401 common guesses: [('ocean', 39), ('crocodile', 34), ('grass', 33)]
firetruck MAPK@3: 0.10674723061430008 common guesses: [('bus', 77), ('school bus', 74), ('firetruck', 56)]
